Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,4,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,"$40,400 ",150
Diploma,4,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$38,000 ",190
Bachelor's degree,4,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$46,500 ",50
Bachelor's degree,1,44. Public administration and social service professions,44.04. Public administration,,
Bachelor's degree,1,44. Public administration and social service professions,44.05. Public policy analysis,,
Certificate,5,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$38,000 ",90
Diploma,5,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,"$45,800 ",120
Diploma,5,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,"$43,300 ",170
Diploma,5,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$39,900 ",200
Bachelor's degree,5,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$51,600 ",50
Certificate,1,11. Computer and information sciences and support services,11.02. Computer programming,"$57,400 ",30
Certificate,1,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$43,200 ",90
Certificate,1,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,"$48,400 ",70
Certificate,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$44,800 ",170
Diploma,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$42,500 ",100
Diploma,1,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$38,700 ",130
Diploma,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$50,000 ",110
Bachelor's degree,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$60,500 ",320
Bachelor's degree,1,11. Computer and information sciences and support services,11.07. Computer science,"$55,200 ",530
Master's degree,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$93,700 ",110
Master's degree,1,11. Computer and information sciences and support services,11.07. Computer science,"$62,700 ",70
Doctoral degree,1,11. Computer and information sciences and support services,11.07. Computer science,"$49,000 ",70
Certificate,2,11. Computer and information sciences and support services,11.02. Computer programming,"$61,900 ",30
Certificate,2,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$50,300 ",90
Certificate,2,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,"$50,200 ",80
Bachelor's degree,1,51. Health professions and related programs,51.07. Health and medical administrative services,,
Certificate,2,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$50,200 ",170
Diploma,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$55,900 ",100
Diploma,2,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$48,600 ",140
Diploma,2,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$55,100 ",120
Bachelor's degree,1,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Bachelor's degree,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$65,800 ",320
Bachelor's degree,1,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Bachelor's degree,2,11. Computer and information sciences and support services,11.07. Computer science,"$59,400 ",540
Master's degree,2,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$91,300 ",110
Master's degree,2,11. Computer and information sciences and support services,11.07. Computer science,"$77,400 ",70
Doctoral degree,2,11. Computer and information sciences and support services,11.07. Computer science,"$69,800 ",70
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Certificate,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$55,300 ",30
Certificate,3,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$49,500 ",100
Certificate,3,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,"$48,100 ",80
Certificate,3,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$53,400 ",170
Diploma,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$50,900 ",90
Diploma,3,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$46,400 ",140
Diploma,3,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$59,200 ",120
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",,
Bachelor's degree,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$69,800 ",310
Bachelor's degree,3,11. Computer and information sciences and support services,11.07. Computer science,"$63,100 ",520
Master's degree,3,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$92,700 ",110
Master's degree,3,11. Computer and information sciences and support services,11.07. Computer science,"$79,800 ",70
Doctoral degree,3,11. Computer and information sciences and support services,11.07. Computer science,"$70,200 ",60
Certificate,4,11. Computer and information sciences and support services,11.02. Computer programming,"$63,200 ",20
Certificate,4,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$44,000 ",90
Certificate,4,11. Computer and information sciences and support services,11.09. Computer systems networking and telecommunications,"$50,000 ",80
Certificate,4,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$52,000 ",170
Diploma,4,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$46,700 ",90
Diploma,4,11. Computer and information sciences and support services,11.08. Computer software and media applications,"$46,400 ",140
Diploma,4,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,"$61,600 ",120
Bachelor's degree,4,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$72,900 ",320
Master's degree,1,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,,
Master's degree,1,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Master's degree,1,"05. Area, ethnic, cultural, gender, and group studies","05.99. Area, ethnic, cultural, gender, and group studies, other",,
Bachelor's degree,4,11. Computer and information sciences and support services,11.07. Computer science,"$68,000 ",510
Master's degree,4,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$91,600 ",110
Master's degree,1,11. Computer and information sciences and support services,11.04. Information science/studies,,
Master's degree,4,11. Computer and information sciences and support services,11.07. Computer science,"$86,100 ",80
Master's degree,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Doctoral degree,4,11. Computer and information sciences and support services,11.07. Computer science,"$89,500 ",60
Certificate,5,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general","$39,400 ",30
